project_name,checklist_name,section,item_text,notes,tags
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Fan,Verify supply fan command,"Command SF from BAS at 0, 50, and 100%; confirm VFD follows.",AHU-1; BAS; Fan
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Fan,Verify supply fan status,Confirm proof/status follows command; no false proof at 0%.,AHU-1; Status
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Fan,Verify return fan tracking,RF tracks SF per sequence; verify the tracking offset.,AHU-1; Fan
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Fan,Verify VFD fault feedback,Trip the VFD; confirm BAS alarm and fan-fail status.,AHU-1; VFD; Safety
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Sensors,Verify SAT sensor,Compare BAS supply-air temp to a calibrated field meter (+/- 1F).,AHU-1; Sensor; Calibration
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Sensors,Verify MAT sensor,Compare mixed-air temp to field reading.,AHU-1; Sensor
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Sensors,Verify return air temp and humidity,Check RAT and RH against a field instrument.,AHU-1; Sensor
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Sensors,Verify duct static pressure,Confirm DSP transmitter zero and span; compare to manometer.,AHU-1; Sensor; Calibration
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Dampers,Verify OA damper stroke,Command 0-100%; confirm full stroke and end switches.,AHU-1; Damper
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Dampers,Verify economizer minimum position,Confirm minimum OA position during occupied mode.,AHU-1; Damper; Economizer
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Dampers,Verify RA/EA damper interlock,OA opens as RA closes; check linkage and travel.,AHU-1; Damper
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Valves,Verify cooling coil valve stroke,Command CHW valve 0-100%; confirm actuator stroke.,AHU-1; Valve
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Valves,Verify heating coil valve stroke,Command HHW valve 0-100%; confirm actuator stroke.,AHU-1; Valve
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Safeties,Verify low-limit freezestat,Test freezestat; confirm it stops the fan and opens the HHW valve.,AHU-1; Safety; High Priority
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Safeties,Verify smoke detector shutdown,Activate duct smoke detector; confirm fan shutdown and alarm.,AHU-1; Safety; High Priority
Riverside Medical Center - BAS Commissioning,AHU-1 Checkout,Safeties,Verify high static cutout,Confirm the high duct-static safety trips the fan.,AHU-1; Safety
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Airflow,Verify VAV minimum airflow,Confirm minimum CFM at zero load matches the schedule.,VAV; Airflow; Floor 3
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Airflow,Verify VAV maximum airflow,Confirm maximum CFM on a call for cooling.,VAV; Airflow; Floor 3
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Airflow,Verify airflow sensor calibration,Check K-factor / velocity pressure against the balancer reading.,VAV; Calibration
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Reheat,Verify reheat valve stroke,Command HHW reheat 0-100%; confirm discharge-air temp rise.,VAV; Valve; Reheat
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Reheat,Verify discharge air temp sensor,Compare DAT to a field reading.,VAV; Sensor
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Control,Verify zone temp sensor,Compare space temp to a field thermometer.,VAV; Sensor
Riverside Medical Center - BAS Commissioning,VAV Boxes - Floor 3,Control,Verify occupancy override,Press the override; confirm timed occupied mode.,VAV; Occupancy
Riverside Medical Center - BAS Commissioning,Graphics Review,Navigation,Verify AHU graphic links,Confirm the graphic opens the correct equipment view.,Graphics; AHU-1
Riverside Medical Center - BAS Commissioning,Graphics Review,Navigation,Verify floor plan navigation,Confirm the floor plan links to each VAV box.,Graphics; Navigation
Riverside Medical Center - BAS Commissioning,Graphics Review,Trends,Verify SAT trend logging,Confirm SAT history is collecting at a 5-minute interval.,Graphics; Trend
Riverside Medical Center - BAS Commissioning,Graphics Review,Trends,Verify runtime totalization,Confirm fan runtime is accumulating.,Graphics; Trend
Riverside Medical Center - BAS Commissioning,Graphics Review,Alarms,Verify alarm console link,Confirm the alarm console opens and filters by AHU.,Graphics; Alarm
